rodada upp submitted finished preempted notStarted submittedTasks finishedTasks success sumOfJobsMakespan sumOfTasksMakespan finishedCost preemptedCost totalCost costByTask nPeers nMachines instance limit group groupedCloudUser utilization realUtilization goodput badput avTime cost hostname ipaddress simulationDuration simulationDurationF
1 1 21 21 0 0 56178 56178 1.0000 216903 236032861 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.07561350880040416 0.08025461743579133 103544843 6355516 1369396086 1316018.002419 garoupinha 150.165.85.240 0:18:17.385 1097385
1 1 7 7 0 0 16691 16691 1.0000 98300 74324937 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.040277661687912324 0.04320289251018544 31183314 2264739 774208648 460041.464592 garoupinha 150.165.85.240 0:02:05.660 125660
1 5 75 75 0 0 299878 299878 1.0000 1572865 3597770483 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.37052765303018265 0.39804255514709713 554959642 41210582 1497754992 6151461.423768001 cofre 127.0.1.1 9:18:05.713 33485713
1 5 29 29 0 0 89834 89834 1.0000 418177 1013142954 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.23450449708057378 0.25096813203862145 162599543 11415472 693374946 1838195.5770090001 garoupinha 150.165.85.240 0:38:37.850 2317850
1 10 125 125 0 0 300391 300391 1.0000 1699529 2117210900 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.35667671404026063 0.38167235859377435 530812390 37198946 1488217114 5871100.375881 lambaru 127.0.1.1 4:54:14.903 17654903
1 10 73 73 0 0 199007 199007 1.0000 1304395 2401731324 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.48118801752716095 0.5166706570398997 364601491 26885589 757711077 4001880.9863205003 garoupinha 150.165.85.240 1:40:15.735 6015735
2 1 6 6 0 0 10414 10414 1.0000 58512 23298997 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.016415613515763733 0.017398174886188167 16561008 991264 1008857085 341742.1974525 garoupinha 150.165.85.240 0:00:51.942 51942
2 1 1 1 0 0 170 170 1.0000 2997 139039 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 2.44708693473693E-4 2.5065420198678955E-4 135741 3298 554704445 93734.77619250001 garoupinha 150.165.85.240 0:00:01.697 1697
2 5 62 62 0 0 234432 234432 1.0000 904265 1256662940 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.2661611181748938 0.28520568948626357 416217563 29781529 1563780487 4675760.461885501 cofre 127.0.1.1 3:12:58.656 11578656
2 5 28 28 0 0 52609 52609 1.0000 302946 214578999 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.13005752716246383 0.13907393313750543 94232807 6532811 724547122 1118216.7140130003 garoupinha 150.165.85.240 0:05:03.108 303108
2 10 138 138 0 0 434880 434880 1.0000 2903848 5398521407 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.5002036059298683 0.5362427451933554 784592938 56529089 1568547145 8588271.166942501 lambaru 127.0.1.1 13:46:13.012 49573012
2 10 56 56 0 0 142393 142393 1.0000 1063077 2326523112 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.33715532906972406 0.3618156488185164 252886980 18496738 750060753 2811583.9235745003 garoupinha 150.165.85.240 1:43:48.986 6228986
3 1 9 9 0 0 47298 47298 1.0000 112971 152749319 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.05827662751796606 0.061940811155892506 74475690 4682711 1277968427 996449.9129955 garoupinha 150.165.85.240 0:09:33.552 573552
3 1 2 2 0 0 17440 17440 1.0000 41875 198924922 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.0422039001596229 0.0444389075975031 29486379 1561521 698664789 423701.8973685 garoupinha 150.165.85.240 0:08:40.364 520364
3 5 73 73 0 0 236630 236630 1.0000 1085623 1691823151 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.2699081447337251 0.28846855258524035 419615372 28855122 1554659910 4698708.765615 cofre 127.0.1.1 4:04:43.390 14683390
3 5 22 22 0 0 45855 45855 1.0000 286089 304171340 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.11909597551727194 0.12811336982809238 83342366 6310297 699791623 1004076.6689295 garoupinha 150.165.85.240 0:09:29.865 569865
3 10 125 125 0 0 487417 487417 1.0000 2280868 5122098337 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.5627053386682458 0.6035100839503809 870554363 63128509 1547087442 9501050.491892999 lambaru 127.0.1.1 13:48:59.861 49739861
3 10 66 66 0 0 183450 183450 1.0000 1082582 1722530356 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.41830347961233827 0.44868406204210676 328855010 23884111 786163697 3623013.5534505 garoupinha 150.165.85.240 1:17:43.790 4663790
4 1 15 15 0 0 46747 46747 1.0000 165697 174547353 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.052526932072764994 0.05601554161921435 79685288 5292349 1517036782 1093865.230503 garoupinha 150.165.85.240 0:14:45.459 885459
4 1 4 4 0 0 14362 14362 1.0000 66562 63676745 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.038847024985030815 0.0414880722903303 23288720 1583303 599498160 346049.47134000005 garoupinha 150.165.85.240 0:01:37.863 97863
4 5 62 62 0 0 164206 164206 1.0000 756456 628254889 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.18856130359342113 0.20187116983001208 282756849 19958792 1499548654 3246559.696791 cofre 127.0.1.1 1:26:26.081 5186081
4 5 44 44 0 0 113972 113972 1.0000 632910 605309759 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.2617172152376625 0.27957428609486057 201740508 13764836 770833924 2261846.7539460002 garoupinha 150.165.85.240 0:17:12.493 1032493
4 10 111 111 0 0 366867 366867 1.0000 1873656 3122159935 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.4265102628975032 0.4570559728800887 662684877 47460007 1553737236 7289131.601394 lambaru 127.0.1.1 7:42:20.632 27740632
4 10 66 66 0 0 285791 285791 1.0000 2432853 8492297316 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.6567315455565698 0.7048966245529346 519165022 38075869 790528528 5648307.820812001 garoupinha 150.165.85.240 6:40:30.477 24030477
