rodada upp submitted finished preempted notStarted submittedTasks finishedTasks success sumOfJobsMakespan sumOfTasksMakespan finishedCost preemptedCost totalCost costByTask nPeers nMachines instance limit group groupedCloudUser utilization realUtilization goodput badput avTime cost hostname ipaddress simulationDuration simulationDurationF
1 1 21 21 0 0 56178 56178 1.0000 892239 3786865681 522.0880 0.0000 522.0880 0.0093 100 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:03:24.683 204683
1 1 21 21 0 0 56178 56178 1.0000 229356 818732034 944.8660 0.0000 944.8660 0.0168 100 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:03:30.617 210617
1 1 21 21 0 0 56178 56178 1.0000 1178025 4859261023 1304.8660 0.0000 1304.8660 0.0232 100 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:03:08.470 188470
1 1 21 21 0 0 56178 56178 1.0000 5287048 20855722979 1155.7370 0.0000 1155.7370 0.0206 100 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:02:17.436 137436
1 1 21 21 0 0 56178 56178 1.0000 514607 2216828938 1674.2520 0.0000 1674.2520 0.0298 100 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:02:44.245 164245
1 1 21 21 0 0 56178 56178 1.0000 287045 1277184772 2314.0520 0.0000 2314.0520 0.0412 100 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:02:44.207 164207
1 1 21 21 0 0 56178 56178 1.0000 174308 611171967 2804.2550 0.0000 2804.2550 0.0499 100 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:02:57.317 177317
1 1 21 21 0 0 56178 56178 1.0000 628943 2799971764 1343.3170 0.0000 1343.3170 0.0239 100 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:04:15.637 255637
1 1 7 7 0 0 16691 16691 1.0000 188495 385551573 213.6860 0.0000 213.6860 0.0128 50 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:00:33.502 33502
1 1 7 7 0 0 16691 16691 1.0000 75341 104822113 238.2100 0.0000 238.2100 0.0143 50 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:00:32.031 32031
1 1 7 7 0 0 16691 16691 1.0000 235608 481911240 151.9700 0.0000 151.9700 0.0091 50 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:08.848 8848
1 1 7 7 0 0 16691 16691 1.0000 849175 1899148217 153.0970 0.0000 153.0970 0.0092 50 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:08.874 8874
1 1 7 7 0 0 16691 16691 1.0000 142720 247951683 166.6080 0.0000 166.6080 0.0100 50 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:07.280 7280
1 1 7 7 0 0 16691 16691 1.0000 87837 152608802 145.7600 0.0000 145.7600 0.0087 50 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:06.982 6982
1 1 7 7 0 0 16691 16691 1.0000 57958 80640106 185.9000 0.0000 185.9000 0.0111 50 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:07.536 7536
1 1 7 7 0 0 16691 16691 1.0000 145006 296604814 193.7300 0.0000 193.7300 0.0116 50 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:07.975 7975
1 5 75 75 0 0 299878 299878 1.0000 3731373 17766697746 4026.6700 0.0000 4026.6700 0.0134 100 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cofre 127.0.1.1 0:31:24.872 1884872
1 5 75 75 0 0 299878 299878 1.0000 1100784 4154657371 5384.4930 0.0000 5384.4930 0.0180 100 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cofre 127.0.1.1 0:29:59.391 1799391
1 5 75 75 0 0 299878 299878 1.0000 4719200 22396169398 9647.3720 0.0000 9647.3720 0.0322 100 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:24:57.524 1497524
1 5 75 75 0 0 299878 299878 1.0000 19759257 92220997402 10071.2360 0.0000 10071.2360 0.0336 100 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:19:05.065 1145065
