rodada makespan nPeers nMachines upp instance limit goodput badput avTime cost
 1 10328.714285714286233997 100 30  1 NA NA 103544843  6355516 1369396086  652.15693462999990970275
 1 14042.857142857143116998  50 30  1 NA NA  31183314  2264739  774208648  206.82338088333335690550
 1 20971.533333333332848269 100 30  5 NA NA 554959642 41210582 1497754992 3399.33491391999996267259
 1 14419.896551724137680139  50 30  5 NA NA 162599543 11415472  693374946  998.20348338999997395149
 1 13596.231999999999970896 100 30 10 NA NA 530812390 37198946 1488217114 3240.20237215333327185363
 1 17868.424657534247671720  50 30 10 NA NA 364601491 26885589  757711077 2226.97201326333333781804
 2  9752.000000000000000000 100 30  1 NA NA  16561008   991264 1008857085  122.59332030333332852479
 2  2997.000000000000000000  50 30  1 NA NA    135741     3298  554704445   13.72774713999999995906
 2 14584.919354838710205513 100 30  5 NA NA 416217563 29781529 1563780487 2553.40975388333345108549
 2 10819.500000000000000000  50 30  5 NA NA  94232807  6532811  724547122  585.56007042666669804021
 2 21042.376811594203900313 100 30 10 NA NA 784592938 56529089 1568547145 4783.33140575333345623221
 2 18983.517857142858701991  50 30 10 NA NA 252886980 18496738  750060753 1549.01019948333350839675
 3 12552.333333333333939663 100 30  1 NA NA  74475690  4682711 1277968427  476.53650627333337297387
 3 20937.500000000000000000  50 30  1 NA NA  29486379  1561521  698664789  191.51582740999998577536
 3 14871.547945205478754360 100 30  5 NA NA 419615372 28855122 1554659910 2567.14388570666687883204
 3 13004.045454545454049367  50 30  5 NA NA  83342366  6310297  699791623  522.26833273333340912359
 3 18246.943999999999505235 100 30 10 NA NA 870554363 63128509 1547087442 5305.18238130000008823117
 3 16402.757575757575978059  50 30 10 NA NA 328855010 23884111  786163697 2008.96825910666689196660
 4 11046.466666666667151731 100 30  1 NA NA  79685288  5292349 1517036782  514.95465638333337210497
 4 16640.500000000000000000  50 30  1 NA NA  23288720  1583303  599498160  154.34940686333334269875
 4 12200.903225806450791424 100 30  5 NA NA 282756849 19958792 1499548654 1743.31473597000012887293
 4 14384.318181818181983544  50 30  5 NA NA 201740508 13764836  770833924 1234.15461619999996401020
 4 16879.783783783783292165 100 30 10 NA NA 662684877 47460007 1553737236 4043.83816421333358448464
 4 36861.409090909088263288  50 30 10 NA NA 519165022 38075869  790528528 3163.14176053000028332463
 5  9236.857142857143116998 100 30  1 NA NA  34588174  2638720 1220154564  238.55404496666668023863
 5 20103.000000000000000000  50 30  1 NA NA  44852286  2534836  555818428  280.39042180666666581601
 5 11968.750000000000000000 100 30  5 NA NA 334305948 23349190 1558006595 2054.72064932999955999549
 5 16994.411764705881068949  50 30  5 NA NA 204383177 15283001  761262922 1257.41226602666665712604
 5 15068.888000000000829459 100 30 10 NA NA 687736016 50811775 1537828195 4203.75402509333343914477
 5 36961.810810810813563876  50 30 10 NA NA 595615510 46419534  771835803 3641.22726704333399538882
 6 13693.818181818181983544 100 30  1 NA NA  58548667  4049499 1515062732  388.61378053999999337975
 6 14530.500000000000000000  50 30  1 NA NA  41192361  3092124  565915839  263.11681326000001490684
 6 14343.792452830188267399 100 30  5 NA NA 297693597 20707840 1554478177 1833.11660026666663725337
 6 13948.315789473685072153  50 30  5 NA NA  95671960  7116896  760938639  597.82701227000006838352
 6 19127.816176470587379299 100 30 10 NA NA 750604708 54601122 1588206451 4581.10305115666687925113
 6 13336.111111111111313221  50 30 10 NA NA 177366436 12634449  734764422 1089.38283086333331084461
 7 12190.722222222222626442 100 30  1 NA NA  99112324  6337056 1401873433  627.79638123666677529400
 7 13683.250000000000000000  50 30  1 NA NA  27495569  2083585  640215862  181.86339585333337254269
 7 12624.280898876404535258 100 30  5 NA NA 478337066 33282367 1539417700 2923.15874656333335224190
 7 17494.933333333334303461  50 30  5 NA NA 190179655 13845622  785002661 1169.69937529333333259274
 7 17250.446428571427532006 100 30 10 NA NA 615137797 42935786 1575453678 3750.48917255000014847610
 7 16716.121621621619851794  50 30 10 NA NA 375204468 27696393  780541053 2291.91648347999989709933
 8  7342.199999999999818101 100 30  1 NA NA  26497994  2090338 1439035141  194.91097354333334124021
 8 12353.000000000000000000  50 30  1 NA NA   7516799   462788  702876603   61.43192337333333341576
 8 13243.639344262295708177 100 30  5 NA NA 333713313 22338578 1484790749 2043.96462235333365242695
 8 17181.533333333332848269  50 30  5 NA NA 193223402 14509650  751728096 1189.84717902666648114973
 8 19000.282051282050815644 100 30 10 NA NA 707836894 52928753 1514307447 4328.58797500000127911335
