rodada makespan nPeers nMachines upp instance limit goodput badput avTime cost
 1  42487.571428571427532006 100 30  1 c1.medium 100 -1 -1 -1   522.087999999999965439201
 1  10921.714285714286233997 100 30  1 c1.xlarge 100 -1 -1 -1   944.865999999999985448085
 1  56096.428571428572467994 100 30  1 m1.large 100 -1 -1 -1  1304.865999999999985448085
 1 251764.190476190473418683 100 30  1 m1.small 100 -1 -1 -1  1155.737000000000080035534
 1  24505.095238095236709341 100 30  1 m1.xlarge 100 -1 -1 -1  1674.251999999999952706276
 1  13668.809523809522943338 100 30  1 m2.2xlarge 100 -1 -1 -1  2314.052000000000134605216
 1   8300.380952380952294334 100 30  1 m2.4xlarge 100 -1 -1 -1  2804.255000000000109139364
 1  29949.666666666667879326 100 30  1 m2.xlarge 100 -1 -1 -1  1343.317000000000007275958
 1  26927.857142857141298009  50 30  1 c1.medium 100 -1 -1 -1   213.686000000000007048584
 1  10763.000000000000000000  50 30  1 c1.xlarge 100 -1 -1 -1   238.210000000000007958079
 1  33658.285714285717403982  50 30  1 m1.large 100 -1 -1 -1   151.969999999999998863132
 1 121310.714285714289871976  50 30  1 m1.small 100 -1 -1 -1   153.097000000000008412826
 1  20388.571428571427532006  50 30  1 m1.xlarge 100 -1 -1 -1   166.608000000000004092726
 1  12548.142857142856883002  50 30  1 m2.2xlarge 100 -1 -1 -1   145.759999999999990905053
 1   8279.714285714286233997  50 30  1 m2.4xlarge 100 -1 -1 -1   185.900000000000005684342
 1  20715.142857142858701991  50 30  1 m2.xlarge 100 -1 -1 -1   193.729999999999989768185
 1  49751.639999999999417923 100 30  5 c1.medium 100 -1 -1 -1  4026.670000000000072759576
 1  14677.120000000000800355 100 30  5 c1.xlarge 100 -1 -1 -1  5384.493000000000392901711
 1  62922.666666666664241347 100 30  5 m1.large 100 -1 -1 -1  9647.371999999999388819560
 1 263456.760000000009313226 100 30  5 m1.small 100 -1 -1 -1 10071.236000000000785803422
 1  32851.360000000000582077 100 30  5 m1.xlarge 100 -1 -1 -1 10722.824000000000523868948
 1  19332.173333333332266193 100 30  5 m2.2xlarge 100 -1 -1 -1 12189.239999999999781721272
 1  11148.453333333332921029 100 30  5 m2.4xlarge 100 -1 -1 -1 15376.284999999999854480848
 1  37677.480000000003201421 100 30  5 m2.xlarge 100 -1 -1 -1  8962.164000000000669388101
 1  31287.620689655173919164  50 30  5 c1.medium 100 -1 -1 -1   699.798999999999978172127
 1  11334.862068965518119512  50 30  5 c1.xlarge 100 -1 -1 -1   836.323999999999955434760
 1  39210.206896551724639721  50 30  5 m1.large 100 -1 -1 -1   684.892000000000052750693
 1 147909.172413793101441115  50 30  5 m1.small 100 -1 -1 -1   707.595000000000027284841
 1  22332.724137931036239024  50 30  5 m1.xlarge 100 -1 -1 -1   808.183999999999969077180
 1  13744.931034482759059756  50 30  5 m2.2xlarge 100 -1 -1 -1   693.730000000000018189894
 1   8719.655172413793479791  50 30  5 m2.4xlarge 100 -1 -1 -1   806.059999999999945430318
 1  24059.758620689655799652  50 30  5 m2.xlarge 100 -1 -1 -1  1246.287499999999909050530
 1  25511.815999999998894054 100 30 10 c1.medium 100 -1 -1 -1  4741.921000000000276486389
